Agency,Parent CN ID,CN ID,Publish Date,Amendment Date,Status,StartDate,EndDate,Value,Description,Agency Ref. ID,Category,Procurement Method,ATM ID,SON ID,Confidentiality - Contract,Confidentiality - Contract Reason(s),Confidentiality - Outputs,Confidentiality - Outputs Reason(s),Consultancy,Consultancy Reason(s),Amendment Reason,Supplier Name,Supplier Address,Supplier City,Supplier Postcode,Supplier Country,Supplier ABNExempt,Supplier ABN,Agency Branch,Agency Divison,Agency Postcode
Defence Materiel Organisation,,CN1121942,2013-01-04, ,published,2011-12-18,2013-01-28,11731.17," Motor Windscreen Wiper, Electric. C/W Crank & Plate Assembly, 9.64inch Nom O/A Long, 3.88inch Nom O/A Depth. Single Line Purchase Order. Part No: E-005-280. ",DNLMN1,Fire fighting equipment,Limited tender,,,No,,No,,No,,,Speedscreen Pty Ltd,PO Box 273,Flemington,3031,AUSTRALIA,No,31004239865,Land Manoeuvre Systems Branch,Land Systems Division,3006
Defence Materiel Organisation,CN389204,CN389204-A1,2011-05-19,2013-01-04,published,2011-01-31,2013-06-28,25022000.00," COMBAT BOOTS, VERSION 5, KHAKI ",CC2JXO,Footwear,Limited tender,,,No,,No,,No,,Amend agency reference ID,REDBACK BOOT COMPANY PTY LTD,,BOTANY,1435,AUSTRALIA,No,38003845805,DMO,LSD -ISSB,3006
Defence Materiel Organisation,,CN1122002,2013-01-04, ,published,2013-01-02,2013-02-26,29546.00," Fire Hose Nozzle, Aluminium Alloy, Select-O-Matic Nozzle, Automatic Type W/Ball Valve Shutoff,225.0 to 757.0 L/Min C/W BIC Male Adapter. Single Line Purchase Order. ",DNLMZG,Fire fighting equipment,Limited tender,,,No,,No,,No,,,Fire Response Pty Ltd,PO Box 668,Seven Hills,1730,AUSTRALIA,No,32003635103,Land Manoeuvre Systems Branch,Land Systems Division,2600
Department of Foreign Affairs and Trade,CN1045381,CN1045381-A1,2012-11-22,2013-01-04,published,2012-11-09,2013-04-30,133190.00, Provision of Business Administration Services ,CN091112-IMDIPB0167,Business administration services,Limited tender,,,No,,No,,No,,This contract has been extended.,CLICKS RECRUIT PTY LTD,"Level 8, 15 London Circuit",Canberra,2600,AUSTRALIA,No,51094789910,FMB,CMD,221
Department of Foreign Affairs and Trade,,CN1122042,2013-01-04, ,published,2012-10-30,2013-06-30,26730.00,Provision of Feasibility Studies or Screening of Project Ideas,CN301012-OPOPFB0194,Feasibility studies or screening of project ideas,Limited tender,,,No,,No,,No,,,THE TRUSTEE FOR PROPERTY BEYOND UNIT TRUST,"Level 6, 66 Hunter Street",Sydney,2000,Australia,No,13431227840,FMB,CMD,221
Department of Health and Ageing,,CN1122062,2013-01-04, ,published,2013-01-03,2013-04-14,24296.80,Review and fainalise Healthy Weight Guide content,4500108517,Comprehensive health services,Limited tender,,,No,,No,,No,,,Amanda Joan Lee,,BARDON,4065,Australia,No,96008437621,,Population Health Division,2606
Department of Health and Ageing,,CN1122072,2013-01-04, ,published,2012-12-01,2013-06-30,14126.64,Provision of Audio Visual upgrades,4500108507,Refurbishing services,Limited tender,,,No,,No,,No,,,Multisystem Communications,,CHARNWOOD,2615,Australia,No,78652929538,,Office of the Chief Financial Officer,2606
Department of Immigration and Citizenship,,CN1122112,2013-01-04, ,published,2011-12-15,2013-12-14,41599.92,Lease of Staff Accommdation Derby WA,70004988,Lease and rental of property or building,Limited tender,,,No,,No,,No,,,HUTCHINSON REAL ESTATE,1/6 CARNARCON STREET,BROOME,6725,Australia,No,98074179249,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2616
Department of Immigration and Citizenship,,CN1122122,2013-01-04, ,published,2012-03-05,2013-06-30,35000.00,Rightfax teleform server,70005306,Software maintenance and support,Limited tender,,,No,,No,,No,,,ADVANCED RECORDS MANAGEMENT,UNIT 3 / 281 PACIFIC HIGHWAY,NORTH SYDNEY,2060,Australia,No,14092424452,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,3000
Department of Immigration and Citizenship,,CN1122132,2013-01-04, ,published,2012-04-18,2012-09-30,16335.00,ADMINISTRATION CONTRACTOR,70005498,Administrative agencies services,Limited tender,,,No,,No,,No,,,WIZARD PEOPLE PTY LTD,PO Box 2700,CANBERRA,2601,Australia,No,46008617114,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2617
Department of Immigration and Citizenship,,CN1122152,2013-01-04, ,published,2012-07-01,2013-06-30,800000.00,Hire Charges for Landing Craft Cocos Island,70006789,Passenger marine transportation,Limited tender,,,No,,No,,No,,,COCOS ISLS CO-OPERATIVE SOC LTD,PO Box 1058,COCOS (KEELING) ISLANDS,6799,Australia,No,30078049966,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,6798
Department of Immigration and Citizenship,,CN1122182,2013-01-04, ,published,2013-01-01,2014-01-01,183253.84,IIR Software Licenses and Support,70007273,Software,Limited tender,,,No,,No,,No,,,INFORMATICA AUSTRALIA PTY LTD,"LEVEL 5, 255 GEORGE STREET",SYDNEY,2000,Australia,No,52114300686,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2617
Department of Immigration and Citizenship,,CN1122202,2013-01-04, ,published,2012-06-21,2013-06-20,39288.84,Lease of Staff Accommodation Derby WA,70007284,Lease and rental of property or building,Limited tender,,,No,,No,,No,,,JIM AND HANNAH TEASDALE,10A HEARD WAY,GLENDALOUGH,6016,Australia,Yes,,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2616
Department of Immigration and Citizenship,,CN1122212,2013-01-04, ,published,2012-10-25,2013-06-30,101318.00,Border Protection Development Project - Latin America,70007287,International relations,Limited tender,,,No,,No,,No,,,INTER'L ORG FOR MIGRATION (AUD),17 ROUTE DES MORILLONS C.P. 71,GENEVA,CH-1211,Switzerland,Yes,,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2616
Department of Immigration and Citizenship,,CN1122282,2013-01-04, ,published,2012-12-07,2013-06-06,14905.02,Lease of Staff Accommodation - Nauru,70007302,Lease and rental of property or building,Limited tender,,,No,,No,,No,,,MAREE BENJAMIN,MENENG DISTRICT NAURU ISLAND,NAURU,94303,Nauru,Yes,,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2617
Department of Immigration and Citizenship,,CN1122292,2013-01-04, ,published,2012-12-07,2013-06-06,14016.00,Lease of Staff Accommodation Nauru,70007303,Lease and rental of property or building,Limited tender,,,No,,No,,No,,,TIMOTHY JOHN IKA,ANABAR DISTRICT,NAURU,94303,Nauru,Yes,,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2617
Department of Immigration and Citizenship,,CN1122302,2013-01-04, ,published,2012-12-04,2013-06-04,17866.98,Lease of Staff Accommodation Nauru,70007304,Lease and rental of property or building,Limited tender,,,No,,No,,No,,,DAVID WRECKER DAGAGIO,BAITSI DISTRICT,NAURU,94303,Nauru,Yes,,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2617
Department of Immigration and Citizenship,,CN1122312,2013-01-04, ,published,2012-12-17,2013-06-16,13577.82,Lease of Staff Accommodation Nauru,70007305,Lease and rental of property or building,Limited tender,,,No,,No,,No,,,JACINTA ENO GADEANANG,P.O BOX 487,NAURU,94303,Nauru,Yes,,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2617
Department of Immigration and Citizenship,,CN1122322,2013-01-04, ,published,2012-12-17,2013-06-16,14830.98,Lease of Staff Accommodation Nauru,70007306,Lease and rental of property or building,Limited tender,,,No,,No,,No,,,JINNIE JEREMIAH,P.O BOX 511,NAURU,94303,Nauru,Yes,,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2617
Department of Immigration and Citizenship,,CN1122332,2013-01-04, ,published,2012-11-28,2013-02-28,327360.00,Lease of Staff Accommodation Weipa,70007308,Lease and rental of property or building,Limited tender,,,No,,No,,No,,,G & N STRANG PTY LTD,PO BOX 488,WEIPA,4874,Australia,No,91100781146,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,2616
Department of Immigration and Citizenship,,CN1122342,2013-01-04, ,published,2012-11-12,2013-01-30,15331.91,Cabcharge taxi fares,70007309,Taxicab services,Limited tender,,,No,,No,,No,,,CABCHARGE AUSTRALIA LIMITED,PO Box 600,PADDINGTON,2021,Australia,No,99001958390,PROPERTY PROCUREMENT & CONTRACTS,FINANCIAL STRATEGY & SERVICES,3000
Department of Climate Change and Energy Efficiency,CN401205,CN401205-A1,2011-06-28,2013-01-04,published,2011-05-24,2012-06-29,514000.00, Scientific Support for Earth Observations Services ,STD-002194-0,Professional procurement services,Limited tender,,,No,,No,,No,,Update Contract Value,CSIRO,PO Box 883,KENMORE,4069,AUSTRALIA,No,41687119230,Business Services,Corporate Support,2601
Australian Securities and Investments Commission,CN898391,CN898391-A1,2012-09-12,2013-01-04,published,2012-08-28,2012-12-31,11499.13, 360 degree feedback process for Senior Executive Leaders - Work Order 49 ,4429,Education and Training Services,Limited tender,,,No,,No,,No,,Amendment to original amount,Bendelta Pty Ltd,,Sydney,2000,AUSTRALIA,No,58105151326,,,2000
Department of Climate Change and Energy Efficiency,CN335267,CN335267-A2,2010-09-29,2013-01-04,published,2010-06-30,2012-06-30,316730.00, ICT Contract Services ,01042-D001042 (001384),Software maintenance and support,Limited tender,,,No,,No,,No,,Update End Date,Emantra Pty Ltd,PO Box 3045,SOUTH BRISBANE,4101,AUSTRALIA,No,98116306453,Business Services,Corporate Support,2601
Department of Health and Ageing - Therapeutic Goods Administration,CN906401,CN906401-A2,2012-09-17,2013-01-04,published,2012-05-30,2013-03-18,101299.17, Temporary Labour Hire ,TGA2012-275,Temporary personnel services,Limited tender,,,No,,No,,No,,New expiry and value,Randstad Pty Ltd,"Level 5, 109 Pitt Street",Sydney,2000,AUSTRALIA,No,28080275378,Group Support Unit (MCG),Therapeutic Goods Administration,2606
