Description,ECCN1,ECCN2,ECCN3,ECCN4,ECCN5
"Ablative liners, thrust or combustion chambers",9A106a,9A619c,9A619e,,
Abrin,1C351d1,,,,
Absolute reflectance measurement equipment,6B004a,,,,
Absorbers of electromagnetic waves,1C001,,,,
"Absorbers, hair type",1C001a Note 1a,,,,
"Absorbers, non-planar & planar",1C001a Note 1,1C001c,1C001c,,
Absorption columns,2B350e,,,,
Accelerators (electro-magnetic radiation),3A101b,,,,
"Accelerators or coprocessors, graphics",4A003d,,,,
Accelerometer axis align stations,7B003,7B101,,,
Accelerometer test station,7B003,7B101,,,
Accelerometers & components therefor,7A101,,,,
Accelerometers & accelerometer components,7A001,,,,
Acoustic beacons,6A001a1b,,,,
Acoustic beam forming software,6D003a1,,,,
"Acoustic hydrophone arrays, towed",6A001a2b,,,,
Acoustic location & object detection systems or transmitting and receiving arrays,6A001a1b,,,,
"Acoustic, marine, terrestrial equipment",6A991,,,,
"Acoustic mounts, noise reduction equipment for vessels",8A002o3a,,,,
Acoustic-optic signal processing devices,3A001c3,,,,
Acoustic positioning systems,6A001a1d,,,,
Acoustic projectors,6A001a1c,,,,
Acoustic seabed survey equipment,6A001a1a,,,,
"Acoustic systems, diver deterrent",8A002r,,,,
"Acoustic systems, equipment, radar, parts … for military not on USML",6A611,3A611,,,
"Acoustic systems, marine",6A001a,,,,
Acoustic transducers,6A001a2c,,,,
Acoustic underwater communications systems,5A001b1,,,,
Acoustic vibration test equipment,9B006,,,,
Acoustic wave devices,3A001c,,,,
Acoustic-wave device manufacturing equipment and systems,3B991b Note,,,,
Active flight control system software,7D003e,,,,
Active flight control system technology,7E004b,,,,
Active magnetic bearing systems,2A001c,,,,
Active acoustic systems,6A001a1,,,,
Actively cooled mirrors,6A005e1,,,,
"Acoustic systems, equipment, radar, parts, components, accessories for military",6A611,3A611,,,
Adaptive control software,2D992a,,,,
Adaptive control software,2D002b2,,,,
ADCs (analog-to-digital converters),3A101a,,,,
ADCs (analog-to-digital converters),3A001a5,,,,
ADCs (analog-to-digital converters),4A003e,,,,
Aero gas turbine engine/assemblies/component test software,9D004b,9D619a,,,
Aero gas turbine engines,9A001,9A619a,,,
Aerosol challenge testing chambers,2B352h,,,,
Aerosol generating units specially designed for fitting to the systems specified in 2B352.i.1 or .i.2,2B352i3,,,,
Aflatoxins,1C351d2,,,,
African horse sickness virus,1C352a17,,,,
African swine fever virus (animal pathogens),1C352a1,,,,
