Source List,Entity Number,SDN Type,Programs,Name,Title,Address,City,State/Province,Postal Code,Country,Federal Register Notice,Effective Date,Date Lifted/Waived/Expired,Standard Order,License Requirement,License Policy,Call Sign,Vessel Type,Gross Tonnage,Gross Register Tonnage,Vessel Flag,Vessel Owner,Remarks/Notes,Address Number,Address Remarks,Alternate Number,Alternate Type,Alternate Name,Alternate Remarks,Web Link
ISN,,,INKSNA,150th Aircraft Repair Plant (ARZ) (Kaliningrad),,,,,,RU,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382, Amir Hossein Rahimyar,,,,,,IR,"Vol. 78, No. 38, 02/26/13",12/13/2012,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Abdul Qadeer Khan,,,,,,PK,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,Associated with the A.Q. Khan Network,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Export-Import Bank Act,Abdul Qadeer Khan,,,,,,PK,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Nuclear Proliferation Prevention Act,Abdul Qadeer Khan,,,,,,PK,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Academy of National Defense Science,,,,,,KP,"Vol. 81, No. 50, 03/15/2016",3/15/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Aerospace Industries Organization (AIO),,,,,,IR,"Vol. 70, No. 126, 07/01/05",6/28/2005,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Alberto Di Salle,,,,,,IT,"Notice 2061,Vol. 59, No. 165, 8/26/94",8/19/1994,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Transfer of Lethal Military Equipment,Alexander Petrenko,,,,,,KZ,"Vol. 64, No. 240 12/15/99",11/17/1999,,,,,,,,,,,"Procurement ban ended 02/03, all other sanctions remain",,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Aluminat,,,,,,IR,"Vol. 78, No. 94, 05/15/13",5/9/2013,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Al-Zargaa Engineering Complex (ZEC),,,,,,SD,"Vol. 79, No. 249, 12/30/14",12/19/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Amr Armanazi,,,,,,SY,"Vol. 78, No. 38, 02/26/13",9/19/2012,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Transfer of Lethal Military Equipment,Argoplast,,,,,,CZ,"Vol. 64, No. 240 12/15/99",11/17/1999,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Army Supply Bureau,,,,,,SY,"Vol. 79, No. 249, 12/30/14",12/19/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Asaib ahl Haq (AAH),,,,,,IQ,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Asian Ways Limited,,,,,,HK,"Vol. 60, No. 47, 03/10/95",2/18/1995,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Ayman al Shaher,,,,,,SY,"Vol. 80, No. 170, 09/02/15, Vol. 80, No. 207, 10/27/15",8/28/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Belvneshpromservice (BVPS),,,,,,BY,"Vol. 81, No. 128, 07/05/2016",12/19/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Berge Aris Balanian,,,,,,DE,"Vol. 63, No. 35, 02/23/98",2/9/1998,,,,,,,,,,,Previously residing in Germany; last known to be in Lebanon,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,BST Technology and Trade Co.,,,,,,CN,"Vol. 80, No. 170, 09/02/15, Vol. 80, No. 207, 10/27/15",8/28/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Budaya Kita Sdn Bhd (BK),,,,,,MY,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Export-Import Bank Act,Buhary Seyed Abu Tahir,,,,,,LK,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Nuclear Proliferation Prevention Act,Buhary Seyed Abu Tahir,,,,,,LK,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,CDM Engineering,,,,,,CH,"Notice 2122, Vol. 59, No. 230, 12/01/94",11/16/1994,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Center for Innovation and Technology Cooperation (aka Technology Cooperation Office),,,,,,IR,"Vol. 77, No. 141, 07/23/12",7/12/2012,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Chang Myong-Chin,,,,,,KP,"Vol. 78, No. 38, 02/26/13",1/24/2013,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Chen Qingchang  (a.k.a. Q.C. Chen),,,,,,CN,"Vol. 62, No. 99, 05/22/97",5/21/1997,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Cheong Yee Limited,,,,,,HK,"Vol. 62, No. 99, 05/22/97",5/21/1997,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 12938,China Precision Machinery Import-Export Corp.,,,,,,CN,"Vol. 68, No. 146, 7/30/03",7/30/2003,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Choe Chun-Sik,,,,,,KP,"Vol. 81, No. 50, 03/15/2016",3/15/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Chu Kyu-Chang,,,,,,KP,"Vol. 78, No. 57",3/11/2013,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Composite International,,,,,,CN,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Cosailing Business Trading Company,,,,,,CN,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Dalian Sunny Industries [also known as LIMMT],,,,,,CN,"Vol. 80, No. 170, 09/02/15, Vol. 80, No. 207, 10/27/15",8/28/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Daniel Geiges,,,,,,CH,"Vol. 74, No. 11, 01/16/09",1/12/2009,,,,,,,,,,,Associated with the A.Q. Khan Network,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Export-Import Bank Act,Daniel Geiges,,,,,,CH,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Defense Industries Organization,,,,,,IR,"Vol. 72, No. 63, 12/19/07",3/30/2007,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,"Do Best Industry Co., Ltd",,,,,,CN,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Export-Import Bank Act,EKA Elektronik Kontrol Aletleri Sanayi ve Ticaret A.S.,,,,,,TR,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Nuclear Proliferation Prevention Act,EKA Elektronik Kontrol Aletleri Sanayi ve Ticaret A.S.,,,,,,TR,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Eliya General Trading,,,,,,AE,"Vol. 80, No. 170, 09/02/15, Vol. 80, No. 207, 10/27/15",8/28/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Export-Import Bank Act,ETI Elektroteknik Sanayi ve Ticaret A.S.,,,,,,TR,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Nuclear Proliferation Prevention Act,ETI Elektroteknik Sanayi ve Ticaret A.S.,,,,,,TR,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,"Europol Holding, Ltd.",,,,,,PL,"Notice 2049, Vol. 59, No. 153, 8/10/94",7/16/1994,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Eyvaz Technic,,,,,,IR,"Vol. 79, No. 184 FR Press Release",12/12/2013,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Faratech,,,,,,IR,"Vol. 78, No. 38, 02/26/13",12/13/2012,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Fulmen Group/Arya Niroo Nik,,,,,,IR,"Vol. 76, No. 229, 11/29/11",11/21/2011,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,GE Plan,,,,,,AT,"Vol. 60, No. 109, 06/07/95",5/19/1995,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,General Bureau of Atomic Energy,,,,,,KP,"Vol. 74, No. 178 11/16/09",9/8/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,General Department of Military Cooperation,,,,,,KP,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
