Source List,Entity Number,SDN Type,Programs,Name,Title,Address,City,State/Province,Postal Code,Country,Federal Register Notice,Effective Date,Date Lifted/Waived/Expired,Standard Order,License Requirement,License Policy,Call Sign,Vessel Type,Gross Tonnage,Gross Register Tonnage,Vessel Flag,Vessel Owner,Remarks/Notes,Address Number,Address Remarks,Alternate Number,Alternate Type,Alternate Name,Alternate Remarks,Web Link
ISN,,,E.O. 13382,7th of Tir,,,,,,IR,"Vol. 74, No. 8, 01/13/09",07/08/2008,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Aerospace Industries Organization (AIO),,,,,,IR,"Vol. 70, No. 126, 07/01/05",6/28/2005,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 12938,Aerospace Industries Organization (AIO),,,,,,IR,"Vol. 72, No. 186, 09/26/07",09/26/2007,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Missle Sanctions Laws,Aerospace Industries Organization,,,,,,IR,"Vol. 72, No. 186, 09/26/07",09/26/2007,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Aerospace Logistics Services,,,,,,GB,"Vol. 72, No. 3, 1/5/07",12/28/2006,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,ISNA,Aerospace Logistics Services,,,,,,GB,"Vol. 72, No. 3, 1/5/07",12/28/2006,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Aerospace Logistics Services,,,,,,GB,"Vol. 72, No. 77, 4/23/07",04/17/2007,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,ISNA,Aerospace Logistics Services,,,,,,GB,"Vol. 72, No. 77, 4/23/07",04/17/2007,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13328 - Iran,Ahmad Derakhshandeh,,,,,,IR,"Vol. 72, No. 34, 02/21/07",01/09/2007,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13328 - Iran,Ahmad Vahid Dastjerdi,,,,,,IR,"Vol. 72, No. 213, 11/05/07",10/25/2007,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
