COUNTRY,NAME,ADDRESS,,,,,
China,China National Plant Import/Export Co.,"Room 2135, Jingxin Building A, No Dong San Huan North Road, Beijing",,,,,
Hong Kong,Brilliance Technology Ltd,"Flat A, 11/F, Adolfo Mansion, 114-116 Austin Road, Tsim Sha Tsui, Kowloon",,,,,
Hong Kong,Brilliance Technology Ltd,"Rm 1203, 12/F, Hip Kwan Commercial Bldg, 38 Pitt Street, Yau Ma Tei",,,,,
Hong Kong,"Dynasense Photonics Co., Limited","Unit 2209, 22/F, Wu Chung House, 213 Queen's Road East, Wanchai",,,,,
Hong Kong,Hi-Shine Technology (HK) Limited,"Flat D12, 11/F, King Yip Factory Bldg, 59 King Yip Street, Kwun Tong, Kowloon",,,,,
Hong Kong,Hi-Shine Technology (HK) Limited,"Room 603, 6/F, Hang Pont Commercial Building, 31 Tonking Street, Cheung Sha Wan, Kowloon",,,,,
Hong Kong,Hong Kong Haimao Info-Tec Development Co Ltd,"Rm 1013B, Well Fung Ind. Center, Ta Chuen Ping Street, Kwai Chung",,,,,
Hong Kong,Lianqi (HK) Electronics Co Ltd,"Unit N, 3/F, Hopewell House, 175 Hip Wo Street, KwunTong, Kowloon",,,,,
Hong Kong,Lion Chip Electronics Ltd,"Unit N, 3/F, Hopewell House, 175 Hip Wo Street, KwunTong, Kowloon",,,,,
Russia,Security 2 Business Academy,"Deguninskaya Street 10, Moscow",,,,,
Russia,Security 2 Business Academy,"Novoslobodskaya Str. 14/19, Moscow",,,,,
Russia,S2BA,"Deguninskaya Street 10, Moscow",,,,,
Russia,S2BA,"Novoslobodskaya Str. 14/19, Moscow",,,,,
Russia,Academy of Business Security,"Deguninskaya Street 10, Moscow",,,,,
Russia,Academy of Business Security,"Novoslobodskaya Str. 14/19, Moscow",,,,,
Russia,T2BA,"Deguninskaya Street 30, Moscow, Russia",,,,,
Russia,"Training 2 Business Academy, a.k.a. T2BA, a.k.a. Academy of Business Training","Deguninskaya Street 20, Moscow, Russia",,,,,
Russia,"Training 2 Business Academy, a.k.a. T2BA, a.k.a. Academy of Business Training","Novoslobodskaya Str. 24/29, Moscow, Russia",,,,,
Hong Kong,Advent International Limited,"Room 1303 Goldfield Tower, 53–59 Wuhu Street, Kung Hom, Kowloon, Hong Kong"
